"days_since_admission","alanine aminotransferase (ALT)_LB","alanine aminotransferase (ALT)_UB","albumin_LB","albumin_UB","aspartate aminotransferase (AST)_LB","aspartate aminotransferase (AST)_UB","total bilirubin_LB","total bilirubin_UB","C-reactive protein (CRP) (Normal Sensitivity)_LB","C-reactive protein (CRP) (Normal Sensitivity)_UB","creatinine_LB","creatinine_UB","Ferritin_LB","Ferritin_UB","lactate dehydrogenase (LDH)_LB","lactate dehydrogenase (LDH)_UB","Fibrinogen_LB","Fibrinogen_UB","procalcitonin_LB","procalcitonin_UB","D-dimer (FEU)_LB","D-dimer (FEU)_UB","cardiac troponin (High Sensitivity)_LB","cardiac troponin (High Sensitivity)_UB","white blood cell count (Leukocytes)_LB","white blood cell count (Leukocytes)_UB","lymphocyte count_LB","lymphocyte count_UB","neutrophil count_LB","neutrophil count_UB","D-dimer (DDU)_LB","D-dimer (DDU)_UB","prothrombin time (PT)_LB","prothrombin time (PT)_UB","cardiac troponin (Normal Sensitivity)_LB","cardiac troponin (Normal Sensitivity)_UB"
11,-347.143581093415,456.642481093415,-2.4214414703787,7.9347814703787,-701.101815434044,807.694015434044,-0.993804415233435,2.40985625970003,55.1640972150746,106.827316578029,0.610066931241049,2.38993306875895,-2204.75221101586,4324.89221101586,210.154216521555,641.045783478445,400.559389943726,826.440610056274,-13.6945340333916,15.9617971912864,-16462.416612267,24022.123018517,-7.65292203528095,7.865549723453,6.67848884673322,14.0241339748436,-6.49236554166032,8.87991740888025,-34.6939648834412,51.3459638818673,-1290.34446306629,4227.64948237131,0.00941966470100475,30.262380335299,-0.223776737554425,0.448184737554425
12,-220.87000810975,329.22720810975,-2.41731280100838,7.86843280100838,-383.426984633018,485.293584633018,-1.3799476437869,2.75973266704271,52.1177943839194,108.282205616081,0.500669560621687,2.41163043937831,-2131.77522795773,4343.79475176725,25.4403901858422,800.845324099872,379.382947924542,764.484595935107,-15.9575445340555,18.0626774454479,-17409.6901819634,24335.1549706958,-7.88801184228951,8.24001184228951,6.98626129470328,14.3296053719634,-6.38716833185358,8.75088833185358,-36.7320309468386,52.6567488955566,-2455.27931421269,5503.35982268727,0.960173934163821,28.9398260658362,-0.164393906806617,0.577393906806617
13,-238.135775756892,347.489975756892,-2.06942698553187,7.52639698553187,-563.129554807979,660.674693696868,-1.37004942225773,2.80754942225773,40.2305038565441,116.869496143456,0.670937009453506,2.22673367327742,-1230.86569495319,3264.46569495319,147.203011317286,713.635372521098,371.071433912362,804.493127491146,-15.5825387777139,17.8662374078509,-12536.9037501711,19995.3637501711,-5.38676944868922,5.58819227940612,7.60042473263931,14.5445752673607,-5.67660943544866,8.22000943544866,-36.5201545082745,52.9631907639823,-81.3047694099967,3303.16476941,2.79846610984117,27.3714672201588,-0.120197040896782,0.410530374896782
14,-316.570046593762,426.859579026195,-1.9130648216928,7.49488482169281,-529.053273086386,627.898100672593,-1.8219102499164,3.26784390427702,51.2288774033903,104.43912259661,0.467215880273671,2.58192411972633,-2420.0174410685,4598.6736910685,181.442356302762,666.057643697238,332.723033439481,805.676966560519,-22.6064519528693,25.4370075084248,-28359.3680809095,35171.9480809095,-7.06807589874864,7.28004772973455,7.35593006897192,14.6155650910281,-5.55427029860336,8.14693696527003,-43.7748338741321,60.007822775231,-1204.13682897756,4816.1549384303,-3.0188675036645,33.0419444267415,0.0545909071595142,0.345255092840486
15,-331.689620349571,439.911048920999,-3.57698793609909,9.05456793609909,-567.51754832866,667.91754832866,-1.35272530802324,2.75594430802324,51.2308540875268,104.814360966237,0.59318316239379,2.53281683760621,-1997.56663791637,4128.56663791637,83.0557666030227,678.816028268772,411.164687442515,699.235312557485,-15.2525510323123,17.3961873959487,-24600.3783289672,32856.1923289672,-13.6795620554234,13.8540107733721,6.68813429871506,14.4082393854955,-6.68524753269231,9.29387753269231,-42.4279948698107,58.1539148698107,200.443538666928,3522.79646133307,-1.83220308007214,32.2322030800721,-0.0213217423250631,1.13670911932506
16,-247.644387883522,352.777887883522,-2.5015719844358,7.9575719844358,-649.400918368263,742.044718368263,-1.30693513518773,2.70693513518773,36.4692196299108,111.277272433581,0.472608415875062,2.5493344412678,-1623.55604331928,3634.15604331928,55.581390574544,698.773448135133,464.338725689171,701.132972424037,-14.1468975377783,16.2836096589904,-9049.86527411425,15602.8852741143,-8.75633418298995,8.89672633985269,7.7599864181581,14.5807806230404,-8.20140085912776,10.8055708591278,-34.435310453667,50.607110453667,175.298999917535,4164.50100008246,-4.4127659917477,34.3028038117477,0.0421908344468055,0.283739721553194
17,-343.776627847785,451.507427847785,-3.15920231869764,8.67804231869764,-487.509173043537,575.949173043537,-1.66895348360121,3.06324143352296,39.3446796058244,110.801187060842,0.742673485010817,2.45666651498918,-1429.30116330494,3714.94873274938,21.4339143401072,747.272982211617,435.879379673844,688.120620326156,-16.7370720929116,18.5284993656389,-12659.6741590188,19526.1370161616,-11.1754322474149,11.4296470622297,8.10176481313444,12.8506454432758,-9.52246724735626,12.095245025134,-33.5030193159971,48.8683393159971,-1229.90208986649,5256.58208986649,2.56611641213264,27.0925991841976,-0.132867028174045,0.278700428174045
18,-213.447953628348,322.447953628348,-3.8373276039897,9.38018760398969,-436.510230029095,526.467676837606,-1.33683211002791,2.75819166666222,44.7698388208339,97.2041611791661,0.267870525841546,2.69060405042964,-1682.30129451592,3631.90129451592,128.0204991029,660.4755008971,443.159172983694,685.204427016306,-17.3180248298746,19.5402548298746,-7897.11913476354,14517.1191347635,-2.02783881990222,2.20196140054738,7.73725128242653,13.5437487175735,-10.0486738967672,12.8012538967672,-27.0690925403559,43.0533725403559,-339.864975267426,5053.76497526743,-1.92191227708305,31.8397573949282,-0.154677282326549,0.417891568326549
19,-208.048261142784,310.334061142784,-2.26675472100671,7.79258472100671,-343.977502544708,431.977502544708,-1.16267511533199,2.52656400422088,35.5928156950001,90.7271843049999,0.426232619847088,2.51176738015291,-1882.93341264353,3727.89849200861,25.239230638869,700.808769361131,422.159697086408,687.48366461572,-12.3307662557255,14.3915762557255,-7464.82059777368,13455.4948401979,-2.45512767528073,2.64472767528073,7.48654305675496,13.2580723278604,-10.1122380177322,12.8754464792706,-24.0285120402874,39.5508453736208,-48.0939637368881,3780.17341758304,0.464651526227492,28.9793484737725,0.0490011748127025,0.222898825187298
20,-242.700969785012,346.567636451678,-3.45760123170349,9.11454761468221,-460.829238785595,543.5911435475,-1.13924476055182,2.48924476055182,36.1060808403477,95.4959191596523,0.485726780395006,2.58827321960499,-1624.87769947303,3538.4431756635,76.2354712199555,684.164528780045,404.952285452512,723.847714547488,-10.4909199239292,13.2609199239292,-9306.13815307449,15379.0581530745,-2.50382649259979,2.69585351962681,7.22280438306936,13.3301956169306,-9.80862005412951,12.5874818427474,-23.2284911128051,38.0392053985194,659.21074850269,4245.82925149731,-0.452796014129641,31.1193960141296,-0.346582897356852,0.570690040356852
